2025-10-16 23:31:32 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:40 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:42 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:44 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:44 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:46 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:48 | UDP | Випадкова втрата пакету | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
2025-10-16 23:31:50 | UDP | Відповідь відправлена | Час=0.000000 сек
